"id","tambonId","zipcodeId"
"521","141216","13110"
"522","141217","13110"
"523","141301","13270"
"524","141302","13270"
"525","141303","13270"
"526","141304","13270"
"527","141305","13270"
"528","141306","13270"
"529","141401","13210"
"530","141402","13210"
"531","141403","13210"
"532","141404","13210"
"533","141405","13210"
"534","141406","13210"
"535","141407","13210"
"536","141408","13210"
"537","141409","13210"
"538","141410","13210"
"539","141410","13000"
"540","141411","13210"
"541","141411","13000"
"542","141501","13150"
"543","141502","13150"
"544","141503","13150"
"545","141504","13150"
"546","141505","13150"
"547","141506","13150"
"548","141507","13150"
"549","141508","13150"
"550","141509","13150"
"551","141510","13150"
"552","141511","13150"
"553","141512","13150"
"554","141601","13240"
"555","141602","13240"
"556","141603","13240"
"557","141604","13240"
"558","141605","13240"
"559","150101","14000"
"560","150102","14000"
"561","150103","14000"
"562","150104","14000"
"563","150105","14000"
"564","150106","14000"
"565","150107","14000"
"566","150108","14000"
"567","150109","14000"
"568","150110","14000"
"569","150111","14000"
"570","150112","14000"
"571","150113","14000"
"572","150114","14000"
"573","150201","14140"
"574","150202","14140"
"575","150203","14140"
"576","150204","14140"
"577","150205","14140"
"578","150206","14140"
"579","150207","14140"
"580","150208","14140"
"581","150209","14140"
"582","150301","14130"
"583","150302","14130"
"584","150303","14130"
"585","150304","14130"
"586","150305","14130"
"587","150306","14130"
"588","150307","14130"
"589","150308","14130"
"590","150401","14120"
"591","150402","14120"
"592","150403","14120"
"593","150404","14120"
"594","150405","14120"
"595","150406","14120"
"596","150407","14120"
"597","150408","14120"
"598","150409","14120"
"599","150410","14120"
"600","150411","14120"
"601","150412","14120"
"602","150413","14120"
"603","150414","14120"
"604","150415","14120"
"605","150501","14150"
"606","150502","14150"
"607","150503","14150"
"608","150504","14150"
"609","150505","14150"
"610","150506","14150"
"611","150507","14150"
"612","150601","14110"
"613","150602","14110"
"614","150603","14110"
"615","150604","14110"
"616","150605","14110"
"617","150606","14110"
"618","150607","14110"
"619","150608","14110"
"620","150609","14110"
"621","150610","14110"
"622","150611","14110"
"623","150612","14110"
"624","150613","14110"
"625","150614","14110"
"626","150615","14110"
"627","150701","14160"
"628","150702","14160"
"629","150703","14160"
"630","150704","14160"
"631","150705","14160"
"632","160101","15000"
"633","160102","15000"
"634","160103","15000"
"635","160104","13240"
"636","160105","15160"
"637","160106","15000"
"638","160107","15160"
"639","160108","15000"
"640","160109","15210"
"641","160110","15000"
"642","160111","15000"
"643","160112","15000"
"644","160114","15000"
"645","160114","15160"
"646","160115","15000"
"647","160116","15000"
"648","160117","15000"
"649","160117","15160"
"650","160118","15000"
"651","160119","15000"
"652","160120","15000"
"653","160121","15000"
"654","160122","15000"
"655","160123","15000"
"656","160124","15000"
"657","160125","15000"
"658","160201","15140"
"659","160202","15220"
"660","160203","15140"
"661","160204","15220"
"662","160205","15140"
"663","160206","15140"
"664","160207","15140"
"665","160208","18220"
"666","160209","15140"
"667","160301","15120"
"668","160302","15120"
"669","160303","15120"
"670","160304","15120"
"671","160305","15120"
"672","160306","15120"
"673","160307","15120"
"674","160308","15120"
"675","160309","15120"
"676","160310","15120"
"677","160318","15120"
"678","160320","15120"
"679","160322","15120"
"680","160401","15130"
"681","160402","15130"
"682","160403","15130"
"683","160404","15130"
"684","160405","15230"
"685","160406","15130"
"686","160407","15130"
"687","160408","15230"
"688","160409","15130"
"689","160410","15190"
"690","160411","15130"
"691","160412","15130"
"692","160414","15130"
"693","160417","15130"
"694","160418","15230"
"695","160419","15130"
"696","160422","15130"
"697","160501","15150"
"698","160502","15150"
"699","160503","15150"
"700","160504","15150"
"701","160505","15150"
"702","160506","15150"
"703","160507","15180"
"704","160508","15150"
"705","160509","15150"
"706","160510","15150"
"707","160511","15150"
"708","160601","15110"
"709","160602","15110"
"710","160603","15110"
"711","160604","15110"
"712","160605","15180"
"713","160606","15110"
"714","160607","15110"
"715","160608","15110"
"716","160608","15180"
"717","160609","15110"
"718","160610","15110"
"719","160611","15110"
"720","160612","15110"
"721","160613","15180"
"722","160614","15110"
"723","160615","15110"
"724","160616","15110"
"725","160617","15110"
"726","160618","15110"
"727","160619","15110"
"728","160620","15110"
"729","160621","15110"
"730","160622","15110"
"731","160701","15230"
"732","160702","15230"
"733","160703","15230"
"734","160704","15230"
"735","160705","15230"
"736","160706","15230"
"737","160801","15240"
"738","160802","15240"
"739","160802","15250"
"740","160803","15240"
"741","160804","15240"
"742","160805","15240"
"743","160901","15250"
"744","160902","15250"
"745","160903","15250"
"746","160904","15250"
"747","160905","15250"
"748","161001","15190"
"749","161002","15190"
"750","161002","15130"
"751","161003","15190"
"752","161004","15190"
"753","161005","15190"
"754","161006","15130"
"755","161101","15170"
"756","161102","15170"
"757","161103","15170"
"758","161104","15170"
"759","161105","15170"
"760","161106","15170"
"761","170101","16000"
"762","170102","16000"
"763","170103","16000"
"764","170104","16000"
"765","170105","16000"
"766","170106","16000"
"767","170107","16000"
"768","170108","16000"
"769","170201","16130"
"770","170202","16130"
"771","170203","16130"
"772","170204","16130"
"773","170205","16130"
"774","170206","16130"
"775","170207","16130"
"776","170208","16130"
"777","170301","16150"
"778","170302","16150"
"779","170303","16150"
"780","170304","16150"
"781","170305","16150"
"782","170306","16150"
"783","170401","16120"
"784","170402","16160"
"785","170403","16120"
"786","170404","16120"
"787","170405","16120"
"788","170406","16120"
"789","170407","16120"
"790","170501","16140"
"791","170502","16140"
"792","170503","16140"
"793","170504","16140"
"794","170601","16110"
"795","170602","16110"
"796","170603","16110"
"797","170604","16110"
"798","170605","16110"
"799","170606","16110"
"800","170607","16110"
"801","170608","16110"
"802","170609","16110"
"803","170610","16110"
"804","180101","17000"
"805","180102","17000"
"806","180103","17000"
"807","180104","17000"
"808","180105","17000"
"809","180106","17000"
"810","180106","17120"
"811","180107","17000"
"812","180108","17000"
"813","180109","17000"
"814","180201","17110"
"815","180202","17110"
"816","180202","17170"
"817","180203","17110"
"818","180204","17110"
"819","180205","17170"
"820","180206","17170"
"821","180207","17170"
"822","180301","17120"
"823","180302","17120"
"824","180303","17120"
"825","180304","17120"
"826","180306","17120"
"827","180307","17120"
"828","180311","17120"
"829","180401","17150"
"830","180402","17150"
"831","180403","17150"
"832","180404","17150"
"833","180405","17150"
"834","180406","17150"
"835","180407","17150"
"836","180501","17140"
"837","180502","17140"
"838","180503","17140"
"839","180504","17140"
"840","180505","17140"
"841","180506","17140"
"842","180507","17140"
"843","180508","17140"
"844","180601","17130"
"845","180602","17130"
"846","180605","17130"
"847","180606","17160"
"848","180607","17160"
"849","180608","17130"
"850","180609","17130"
"851","180611","17160"
"852","180701","17120"
"853","180702","17120"
"854","180703","17120"
"855","180704","17120"
"856","180801","17130"
"857","180802","17130"
"858","180803","17130"
"859","190101","18000"
"860","190105","18000"
"861","190106","18000"
"862","190107","18000"
"863","190108","18000"
"864","190109","18000"
"865","190110","18000"
"866","190111","18000"
"867","190112","18000"
"868","190113","18000"
"869","190114","18000"
"870","190201","18110"
"871","190202","18260"
"872","190203","18110"
"873","190204","18110"
"874","190205","18110"
"875","190206","18110"
"876","190207","18110"
"877","190208","18110"
"878","190209","18110"
"879","190210","18110"
"880","190211","18110"
"881","190212","18110"
"882","190213","18110"
"883","190215","18110"
"884","190301","18140"
"885","190302","18140"
"886","190303","18250"
"887","190304","18250"
"888","190305","18230"
"889","190306","18230"
"890","190306","18140"
"891","190307","18140"
"892","190308","18250"
"893","190309","18230"
"894","190310","18230"
"895","190311","18140"
"896","190312","18140"
"897","190313","18230"
"898","190314","18140"
"899","190315","18230"
"900","190316","18140"
"901","190317","18140"
"902","190318","18140"
"903","190401","18150"
"904","190402","18150"
"905","190403","18150"
"906","190404","18150"
"907","190405","18150"
"908","190406","18150"
"909","190501","18170"
"910","190502","18170"
"911","190503","18170"
"912","190504","18170"
"913","190505","18170"
"914","190506","18170"
"915","190507","18170"
"916","190508","18170"
"917","190509","18170"
"918","190601","18130"
"919","190602","18130"
"920","190602","18270"
"921","190603","18130"
"922","190604","18130"
"923","190605","18130"
"924","190605","18210"
"925","190606","18130"
"926","190607","18130"
"927","190608","18270"
"928","190609","18130"
"929","190701","18210"
"930","190702","18210"
"931","190703","18210"
"932","190704","18210"
"933","190801","18190"
"934","190802","18190"
"935","190803","18190"
"936","190804","18190"
"937","190901","18120"
"938","190902","18120"
"939","190903","18120"
"940","190904","18120"
"941","190905","18120"
"942","190906","18120"
"943","190907","18120"
"944","190908","18120"
"945","190909","18120"
"946","191001","18160"
"947","191002","18160"
"948","191003","18160"
"949","191004","18160"
"950","191005","18160"
"951","191006","18160"
"952","191007","18160"
"953","191008","18160"
"954","191009","18160"
"955","191010","18160"
"956","191011","18160"
"957","191012","18160"
"958","191101","18180"
"959","191102","18180"
"960","191104","18180"
"961","191105","30130"
"962","191107","30130"
"963","191109","18220"
"964","191201","18220"
"965","191202","18220"
"966","191203","18220"
"967","191301","18000"
"968","191302","18000"
"969","191303","18000"
"970","191304","18240"
"971","191305","18000"
"972","191305","18240"
"973","191306","18240"
"974","200101","20000"
"975","200102","20000"
"976","200103","20000"
"977","200104","20130"
"978","200104","20131"
"979","200105","20000"
"980","200106","20000"
"981","200107","20000"
"982","200108","20000"
"983","200109","20000"
"984","200110","20000"
"985","200111","20000"
"986","200112","20000"
"987","200113","20130"
"988","200114","20130"
"989","200115","20000"
"990","200115","20130"
"991","200116","20000"
"992","200116","20130"
"993","200117","20000"
"994","200118","20000"
"995","200201","20170"
"996","200202","20220"
"997","200203","20170"
"998","200204","20170"
"999","200205","20170"
"1000","200206","20170"
"1001","200207","20220"
"1002","200208","20220"
"1003","200301","20190"
"1004","200302","20190"
"1005","200303","20190"
"1006","200304","20190"
"1007","200305","20190"
"1008","200401","20150"
"1009","200402","20150"
"1010","200403","20150"
"1011","200404","20150"
"1012","200405","20150"
"1013","200406","20150"
"1014","200407","20150"
"1015","200408","20150"
"1016","200501","20160"
"1017","200502","20160"
"1018","200503","20160"
"1019","200504","20160"
"1020","200505","20160"
"1021","200506","20160"
"1022","200507","20160"
"1023","200508","20160"
"1024","200509","20160"
"1025","200510","20160"
"1026","200511","20160"
"1027","200601","20140"
"1028","200602","20140"
"1029","200603","20140"
"1030","200604","20140"
"1031","200605","20140"
"1032","200605","20240"
"1033","200606","20140"
"1034","200607","20140"
"1035","200608","20140"
"1036","200609","20140"
"1037","200610","20140"
"1038","200611","20140"
"1039","200613","20140"
"1040","200614","20140"
"1041","200615","20140"
"1042","200616","20140"
"1043","200617","20140"
"1044","200617","20240"
"1045","200618","20140"
"1046","200620","20140"
"1047","200621","20140"
"1048","200622","20140"
"1049","200701","20110"
"1050","200702","20110"
"1051","200703","20230"
"1052","200704","20230"
"1053","200705","20110"
"1054","200705","20230"
"1055","200706","20110"
"1056","200707","20110"
"1057","200708","20230"
"1058","200801","20120"
"1059","200901","20180"
"1060","200902","20250"
"1061","200903","20180"
"1062","200904","20250"
"1063","200905","20180"
"1064","201001","20270"
"1065","201002","20270"
"1066","201003","20270"
"1067","201004","20270"
"1068","201005","20270"
"1069","201006","20270"
"1070","201101","20240"
"1071","201102","20240"
"1072","210101","21000"
"1073","210102","21000"
"1074","210103","21000"
"1075","210104","21000"
"1076","210105","21160"
"1077","210106","21160"
"1078","210107","21000"
"1079","210108","21000"
"1080","210109","21000"
"1081","210109","21150"
"1082","210110","21100"
"1083","210111","21000"
"1084","210112","21000"
"1085","210113","21150"
"1086","210114","21150"
"1087","210115","21100"
"1088","210201","21130"
"1089","210202","21130"
"1090","210203","21130"
"1091","210301","21110"
"1092","210302","21110"
"1093","210303","21110"
"1094","210304","21110"
"1095","210305","21190"
"1096","210306","21190"
"1097","210307","21110"
"1098","210308","21110"
"1099","210309","21110"
"1100","210310","22160"
"1101","210311","21170"
"1102","210312","21170"
"1103","210313","21170"
"1104","210317","21110"
"1105","210318","21110"
"1106","210401","21210"
"1107","210402","21210"
"1108","210403","21210"
"1109","210404","21210"
"1110","210501","21120"
"1111","210502","21120"
"1112","210503","21120"
"1113","210504","21120"
"1114","210505","21120"
"1115","210506","21120"
"1116","210507","21120"
"1117","210601","21140"
"1118","210602","21140"
"1119","210603","21140"
"1120","210604","21140"
"1121","210605","21140"
"1122","210606","21140"
"1123","210701","21110"
"1124","210702","21110"
"1125","210703","21110"
"1126","210704","21110"
"1127","210801","21180"
"1128","210802","21180"
"1129","210803","21180"
"1130","210804","21180"
"1131","220101","22000"
"1132","220102","22000"
"1133","220103","22000"
"1134","220104","22000"
"1135","220105","22000"
"1136","220106","22000"
"1137","220107","22000"
"1138","220108","22000"
"1139","220109","22000"
"1140","220110","22000"
"1141","220111","22000"
"1142","220201","22110"
"1143","220202","22110"
"1144","220203","22110"
"1145","220204","22110"
"1146","220205","22110"
"1147","220206","22110"
"1148","220207","22110"
"1149","220208","22110"
"1150","220209","22110"
"1151","220210","22110"
"1152","220211","22110"
"1153","220212","22150"
"1154","220301","22120"
"1155","220302","22120"
"1156","220303","22120"
"1157","220304","22120"
"1158","220305","22120"
"1159","220306","22120"
"1160","220307","22120"
"1161","220308","22120"
"1162","220309","22170"
"1163","220311","22170"
"1164","220312","22170"
"1165","220313","22120"
"1166","220314","22120"
"1167","220324","22170"
"1168","220401","22140"
"1169","220402","22140"
"1170","220404","22140"
"1171","220409","22140"
"1172","220410","22140"
"1173","220501","22150"
"1174","220502","22150"
"1175","220503","22150"
"1176","220504","22150"
"1177","220506","22150"
"1178","220508","22150"
"1179","220601","22130"
"1180","220602","22130"
"1181","220603","22130"
"1182","220604","22190"
"1183","220605","22190"
"1184","220606","22190"
"1185","220607","22120"
"1186","220701","22180"
"1187","220702","22180"
"1188","220703","22180"
"1189","220704","22180"
"1190","220705","22180"
"1191","220801","22160"
"1192","220802","22160"
"1193","220803","22160"
"1194","220804","22160"
"1195","220805","22160"
"1196","220901","22160"
"1197","220902","22170"
"1198","220903","22170"
"1199","220904","22170"
"1200","220905","22160"
"1201","220906","22170"
"1202","221001","22210"
"1203","221002","22210"
"1204","221003","22210"
